id_experimento,conjunto_experimento,status,process_id,timeout_minutes,hora_inicio,hora_fim,modelo,modelo_executado,num_vizinhos,num_iteracoes,temperaturas,variante_prompt,notas,caminho_csv_saida,caminho_log_saida,caminho_log_prompt_saida
1,Teste Inicial,concluido,,30,2025-08-26 14:17:20,2025-08-26 14:18:26,gemma-3-12b,google/gemma-3-12b,3,1,0.0,v20_lista_completa_meio_raciocinio_primeiro,TESTE: 3 vizinhos com v20 raciocinio primeiro,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/csv/dados_combinados_n3_iter5_v20_lista_completa_meio_raciocinio_primeiro_20250826_141826.csv,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/logs/respostas_log_v20_lista_completa_meio_raciocinio_primeiro_n3_20250826_141720_gemma_3_12b.txt,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/prompt_logs/prompts_log_v20_lista_completa_meio_raciocinio_primeiro_n3_20250826_141720_gemma_3_12b.txt
2,Escala de Vizinhos,pendente,62193.0,90,2025-08-29 17:57:49,,gemma-3-12b,google/gemma-3-12b,13,1,0.0,v20_lista_completa_meio_raciocinio_primeiro,Teste com N=13 vizinhos,,,
3,Escala de Vizinhos,concluido,,90,2025-09-01 12:01:18,2025-09-01 13:10:25,gemma-3-12b,google/gemma-3-12b,11,1,0.0,v20_lista_completa_meio_raciocinio_primeiro,Teste com N=11 vizinhos,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/csv/basic/dados_combinados_n11_iter1_v20_lista_completa_meio_raciocinio_primeiro_exp3_20250901_131025.csv,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/logs/respostas_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/prompt_logs/prompts_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt
4,Escala de Vizinhos,concluido,,90,2025-09-01 12:01:18,2025-09-01 12:23:00,gemma-3-12b,google/gemma-3-12b:2,9,1,0.0,v20_lista_completa_meio_raciocinio_primeiro,Teste com N=9 vizinhos,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/csv/basic/dados_combinados_n9_iter1_v20_lista_completa_meio_raciocinio_primeiro_exp4_20250901_122300.csv,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/logs/respostas_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/prompt_logs/prompts_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt
5,Escala de Vizinhos,concluido,,90,2025-09-01 12:01:18,2025-09-01 12:08:48,gemma-3-12b,google/gemma-3-12b:3,7,1,0.0,v20_lista_completa_meio_raciocinio_primeiro,Teste com N=7 vizinhos,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/csv/basic/dados_combinados_n7_iter1_v20_lista_completa_meio_raciocinio_primeiro_exp5_20250901_120848.csv,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/logs/respostas_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/prompt_logs/prompts_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt
6,Escala de Vizinhos,concluido,,90,2025-09-01 12:01:18,2025-09-01 12:03:41,gemma-3-12b,google/gemma-3-12b:4,5,1,0.0,v20_lista_completa_meio_raciocinio_primeiro,Teste com N=5 vizinhos,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/csv/basic/dados_combinados_n5_iter1_v20_lista_completa_meio_raciocinio_primeiro_exp6_20250901_120341.csv,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/logs/respostas_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/prompt_logs/prompts_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt
7,Escala de Vizinhos,concluido,,90,2025-09-01 12:01:18,2025-09-01 12:01:53,gemma-3-12b,google/gemma-3-12b:5,3,1,0.0,v20_lista_completa_meio_raciocinio_primeiro,Teste com N=3 vizinhos,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/csv/basic/dados_combinados_n3_iter1_v20_lista_completa_meio_raciocinio_primeiro_exp7_20250901_120153.csv,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/logs/respostas_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/prompt_logs/prompts_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250901_120118_gemma_3_12b.txt
8,Escala de Vizinhos,pendente,,90,2025-08-29 15:17:43,2025-08-29 15:18:12,gemma-3-12b,google/gemma-3-12b,3,1,"0.0,1.0",v20_lista_completa_meio_raciocinio_primeiro,N=11 com temperaturas multiplas,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/csv/dados_combinados_n3_iter1_v20_lista_completa_meio_raciocinio_primeiro_exp7_20250829_151811.csv,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/logs/respostas_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250829_151743_gemma_3_12b.txt,/Users/luancarvalho/PycharmProjects/conformidade_experimento_resultados/resultados/prompt_logs/prompts_log_v20_lista_completa_meio_raciocinio_primeiro_n3_exp7_20250829_151743_gemma_3_12b.txt
9,Escala de Vizinhos,pendente,,90,,,gemma-3-12b,,9,5,"0.0,1.0",v20_lista_completa_meio_raciocinio_primeiro,N=9 com temperaturas multiplas,,,
10,Escala de Vizinhos,pendente,,90,,,gemma-3-12b,,7,5,"0.0,1.0",v20_lista_completa_meio_raciocinio_primeiro,N=7 com temperaturas multiplas,,,
11,Escala de Vizinhos,pendente,,90,,,gemma-3-12b,,5,5,"0.0,1.0",v20_lista_completa_meio_raciocinio_primeiro,N=5 com temperaturas multiplas,,,
12,Escala de Vizinhos,pendente,,90,,,gemma-3-12b,,3,5,"0.0,1.0",v20_lista_completa_meio_raciocinio_primeiro,N=3 com temperaturas multiplas,,,
13,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v20_lista_completa_meio_raciocinio_primeiro,Lista completa com raciocinio primeiro,,,
14,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v19_lista_completa_meio_com_raciocinio,Lista completa com raciocinio,,,
15,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v18_rule,Regra explicita de decisão,,,
16,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v17_graph_of_thought,Graph-of-Thought com analise,,,
17,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v16_cartesian,Representação cartesiana,,,
18,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v15_compact_symbol,Notação compacta com simbolos,,,
19,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v14_json,Estrutura JSON,,,
20,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v13_incidence,Lista de incidencia com offsets,,,
21,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v12_python,Formato Python pseudo-codigo,,,
22,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v11_lista_completa_meio_sem_current,Lista completa sem current opinion,,,
23,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v10_lista_indice_especifico,Lista completa com indice especifico,,,
24,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v9_lista_completa_meio,Lista completa com posição do meio,,,
25,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v8_visual,Teste com mapa visual,,,
26,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v7_offsets,Teste com offsets relativos,,,
27,Comparação de Prompt,pendente,,60,,,gemma-3-12b,,9,5,0.0,v6_lista_indices,Teste formato lista com indices,,,
